qtype,cleaned_question,cleaned_answer
susceptibility,risk lymphocytic choriomeningitis lcm,lcmv infections occur exposure fresh urine droppings saliva nesting materials infected rodents transmission may also occur materials directly introduced broken skin nose eyes mouth presumably via bite infected rodent persontoperson transmission reported exception vertical transmission infected mother fetus rarely organ transplantation
symptoms,symptoms lymphocytic choriomeningitis lcm,lcmv commonly recognized causing neurological disease name implies though infection without symptoms mild febrile illnesses common clinical manifestations infected persons become ill onset symptoms usually occurs days exposure virus part biphasic febrile illness initial phase may last long week typically begins following symptoms fever malaise lack appetite muscle aches headache nausea vomiting symptoms appearing less frequently include sore throat cough joint pain chest pain testicular pain parotid salivary gland pain following days recovery second phase illness may occur symptoms may consist meningitis fever headache stiff neck etc encephalitis drowsiness confusion sensory disturbances andor motor abnormalities paralysis meningoencephalitis inflammation brain meninges lcmv also known cause acute hydrocephalus increased fluid brain often requires surgical shunting relieve increased intracranial pressure rare instances infection results myelitis inflammation spinal cord presents symptoms muscle weakness paralysis changes body sensation association lcmv infection myocarditis inflammation heart muscles suggested previous observations show patients develop aseptic meningitis encephalitis due lcmv survive chronic infection described humans acute phase illness virus cleared body however infections central nervous system particularly encephalitis temporary permanent neurological damage possible nerve deafness arthritis reported women become infected lcmv pregnancy may pass infection fetus infections occurring first trimester may result fetal death pregnancy termination second third trimesters birth defects develop infants infected utero many serious permanent birth defects including vision problems mental retardation hydrocephaly water brain pregnant women may recall flulike illness pregnancy may recall illness lcm usually fatal general mortality less
susceptibility,risk lymphocytic choriomeningitis lcm,individuals ages come contact urine feces saliva blood wild mice potentially risk infection owners pet mice hamsters may risk infection animals originate colonies contaminated lcmv animals infected wild mice human fetuses risk acquiring infection vertically infected mother laboratory workers work virus handle infected animals also risk however risk minimized utilizing animals sources regularly test virus wearing proper protective laboratory gear following appropriate safety precautions
exams and tests,diagnose lymphocytic choriomeningitis lcm,first phase disease common laboratory abnormalities low white blood cell count leukopenia low platelet count thrombocytopenia liver enzymes serum may also mildly elevated onset neurological disease second phase increase protein levels increase number white blood cells decrease glucose levels cerebrospinal fluid csf usually found laboratory diagnosis usually made detecting igm igg antibodies csf serum virus detected pcr virus isolation csf acute stage illness
treatment,treatments lymphocytic choriomeningitis lcm,aseptic meningitis encephalitis meningoencephalitis requires hospitalization supportive treatment based severity antiinflammatory drugs corticosteroids may considered specific circumstances although studies shown ribavirin drug used treat several viral diseases effective lcmv vitro established evidence support routine use treatment lcm humans
prevention,prevent lymphocytic choriomeningitis lcm,lcmv infection prevented avoiding contact wild mice taking precautions handling pet rodents ie mice hamsters guinea pigs rarely pet rodents may become infected lcmv wild rodents breeders pet stores pet owners take measures prevent infestations wild rodents pet rodents come contact wild rodents pet rodent wash hands soap water waterless alcoholbased hand rubs soap available hands visibly soiled handling rodents cages bedding rodent infestation around home take following precautions reduce risk lcmv infection seal rodent entry holes gaps steel wool lath metal caulk trap rats mice using appropriate snap trap clean rodent food sources nesting sites take precautions cleaning rodentinfected areas use crossventilation entering previously unventilated enclosed room dwelling prior cleanup put rubber latex vinyl nitrile gloves stir dust vacuuming sweeping means thoroughly wet contaminated areas bleach solution household disinfectant hypochlorite bleach solution mix cups household bleach gallon water everything wet take contaminated materials damp towel mop sponge area bleach solution household disinfectant spray dead rodents disinfectant doublebag along cleaning materials throw bag appropriate waste disposal system remove gloves thoroughly wash hands soap water waterless alcoholbased hand rubs soap available hands visibly soiled geographic distributions rodent hosts widespread domestically abroad however infrequent recognition diagnosis historic underreporting lcm limited scientists ability estimate incidence rates prevalence disease among humans understanding epidemiology lcm lcmv infections help delineate risk factors infection develop effective preventive strategies increasing physician awareness improve disease recognition reporting may lead better characterization natural history underlying immunopathological mechanisms disease stimulate future therapeutic research development
information,parasites cysticercosis,cysticercosis infection caused larvae parasite taenia solium infection occurs person swallows tapeworm eggs larvae get tissues muscle brain form cysts called cysticerci cysts found brain condition called neurocysticercosis
susceptibility,risk parasites cysticercosis,cysticercosis infection caused larvae tapeworm taenia solium person adult tapeworm lives gut sheds eggs stool infection adult tapeworm called taeniasis pig eats eggs stool eggs develop larvae inside pig form cysts called cysticerci pigs muscles tissues infection cysts called cysticercosis humans eat undercooked raw infected pork swallow cysts meat larvae come cysts human gut develop adult tapeworms completing cycle people get cysticercosis swallow eggs excreted stool people adult tapeworm may happen people drink water eat food contaminated tapeworm eggs put contaminated fingers mouth cysticercosis spread eating undercooked meat however people get infected tapeworms taeniasis eating undercooked infected pork people tapeworm infections infect eggs develop cysticercosis called autoinfection also infect people poor hygiene contaminate food water people swallow people live someone tapeworm infection intestines much higher risk getting cysticercosis people human cysticercosis found worldwide especially areas pig cysticercosis common taeniasis cysticercosis often found rural areas developing countries poor sanitation pigs roam freely eat human feces taeniasis cysticercosis rare among persons live countries pigs raised countries pigs contact human feces although uncommon cysticercosis occur people never traveled outside united states exposed tapeworm eggs taeniasis
exams and tests,diagnose parasites cysticercosis,think may cysticercosis please see health care provider health care provider ask symptoms travelled kinds foods eat diagnosis neurocysticercosis usually requires mri ct brain scans blood tests may useful help diagnose infection may always positive light infections diagnosed cysticercosis family members tested intestinal tapeworm infection see taeniasis section information intestinal tapeworm infections taeniasis resources health professionals diagnosis
treatment,treatments parasites cysticercosis,people cysticercosis need treated medications available treat cysticercosis need treatment sometimes surgery may needed doctor advise treatment best resources health professionals treatment taeniasis
prevention,prevent parasites cysticercosis,prevent cysticercosis following precautions taken wash hands soap warm water using toilet changing diapers handling food teach children importance washing hands prevent infection wash peel raw vegetables fruits eating use good food water safety practices traveling developing countries drink bottled boiled minute water carbonated bubbly drinks cans bottles filter unsafe water absolute micron less filter dissolve iodine tablets filtered water absolute micron filters found camping outdoor supply stores handwashing food water safety
information,parasites trichuriasis also known whipworm infection,whipworm trichuris trichiura intestinal parasite humans larvae adult worms live intestine humans cause intestinal disease name derived distinctive whiplike shape
susceptibility,risk parasites trichuriasis also known whipworm infection,whipworm soiltransmitted helminth sth third common roundworm humans whipworm causes infection called trichuriasis often occurs areas human feces used fertilizer defecation onto soil happens worms spread person person fecaloral transmission fecescontaminated food geographic distribution worldwide infection occurs frequently areas tropical weather poor sanitation practices among children estimated number persons infected whipworm billion trichuriasis also occurs southern united states
exams and tests,diagnose parasites trichuriasis also known whipworm infection,standard method diagnosing presence whipworm microscopically identifying whipworm eggs stool sample eggs may difficult find light infections concentration procedure recommended
treatment,treatments parasites trichuriasis also known whipworm infection,anthelminthic medications drugs rid body parasitic worms albendazole mebendazole drugs choice treatment infections generally treated days recommended medications effective health care providers may decide repeat stool exam treatment iron supplements may also prescribed infected person suffers anemia resources health professionals treatment
prevention,prevent parasites trichuriasis also known whipworm infection,best way prevent whipworm infection always avoid ingesting soil may contaminated human feces including human fecal matter night soil wastewater used fertilize crops wash hands soap warm water handling food teach children importance washing hands prevent infection wash peel cook raw vegetables fruits eating particularly grown soil fertilized manure handwashing transmission infection others prevented defecating outdoors effective sewage disposal systems
information,marine toxins,marine toxins naturally occurring chemicals contaminate certain seafood seafood contaminated chemicals frequently looks smells tastes normal humans eat seafood disease result
exams and tests,diseases diagnosed marine toxins,diagnosis marine toxin poisoning generally based symptoms history recently eating particular kind seafood laboratory testing specific toxin patient samples generally necessary requires special techniques equipment available specialized laboratories suspect leftover fish shellfish available tested presence toxin easily identification specific toxin usually necessary treating patients specific treatment
treatment,diseases treated marine toxins,supportive care specific treatments ciguatera poisoning paralytic shellfish poisoning neurotoxic shellfish poisoning amnesic shellfish poisoning antihistamines epinephrine however may sometimes useful treating symptoms scombrotoxic fish poisoning intravenous mannitol suggested treatment severe ciguatera poisoning
frequency,common diseases marine toxins,every year approximately cases poisoning marine toxins reported united states healthcare providers required report illnesses many milder cases diagnosed reported actual number poisonings may much greater toxic seafood poisonings common summer winter dinoflagelates grow well warmer seasons estimated cases available data one person dies every years toxic seafood poisonings
prevention,prevent poisoning marine toxins,general guidelines safe seafood consumption
information,government diseases marine toxins,health departments test shellfish harvested within jurisdiction monitor level dinoflagellate toxins asses risk contamination based results testing recreational commercial seafood harvesting may prohibited locally periods risk state federal regulatory agencies monitor reported cases marine toxin poisoning health departments investigate possible outbreaks devise control measures centers disease control prevention cdc provides support investigators needed
prevention,else done prevent diseases marine toxins,important notify public health departments even one person marine toxin poisoning public health departments investigate determine restaurant oyster bed fishing area problem prevents illnesses food poisoning occurrence consumers note foods eaten freeze uneaten portions case need tested commercial test developed hawaii allow persons test sport caught fish ciguatoxins
information,yellow fever vaccination,continue live travel yellow feverendemic areas receive booster dose yellow fever vaccine years receiving vaccine receive international certificate vaccination yellow card validated vaccination center certificate becomes valid days vaccination lasts years need card proof vaccination enter certain countries
information,parasites schistosomiasis,schistosomiasis also known bilharzia disease caused parasitic worms infection schistosoma mansoni haematobium japonicum causes illness humans less commonly mekongi intercalatum cause disease although worms cause schistosomiasis found united states million people infected worldwide
susceptibility,risk parasites schistosomiasis,schistosomiasis important cause disease many parts world commonly places poor sanitation schoolage children live areas often risk tend spend time swimming bathing water containing infectious cercariae live travel areas schistosomiasis found exposed contaminated freshwater risk areas human schistosomiasis found include schistosoma mansoni distributed throughout africa risk infection freshwater southern subsaharan great lakes rivers well smaller bodies water transmission also occurs nile river valley sudan egypt south america including brazil suriname venezuela caribbean risk low dominican republic guadeloupe martinique saint lucia haematobium distributed throughout africa risk infection freshwater southern subsaharan great lakes rivers well smaller bodies water transmission also occurs nile river valley egypt mahgreb region north africa found areas middle east japonicum found indonesia parts china southeast asia mekongi found cambodia laos intercalatum found parts central west africa
exams and tests,diagnose parasites schistosomiasis,stool urine samples examined microscopically parasite eggs stool mansoni japonicum eggs urine haematobium eggs eggs tend passed intermittently small amounts may detected may necessary perform blood serologic test resources health professionals diagnosis
treatment,treatments parasites schistosomiasis,safe effective medication available treatment urinary intestinal schistosomiasis praziquantel prescription medication taken days treat infections caused schistosoma species resources health professionals treatment
prevention,prevent parasites schistosomiasis,prevention vaccine available best way prevent schistosomiasis take following steps visiting live area schistosomiasis transmitted avoid swimming wading freshwater countries schistosomiasis occurs swimming ocean chlorinated swimming pools safe drink safe water although schistosomiasis transmitted swallowing contaminated water mouth lips come contact water containing parasites could become infected water coming directly canals lakes rivers streams springs may contaminated variety infectious organisms either bring water rolling boil minute filter water drinking bring water rolling boil least minute kill harmful parasites bacteria viruses present iodine treatment alone guarantee water safe free parasites water used bathing brought rolling boil minute kill cercariae cooled bathing avoid scalding water held storage tank least days safe bathing vigorous towel drying accidental brief water exposure may help prevent schistosoma parasite penetrating skin however rely vigorous towel drying alone prevent schistosomiasis contact potentially contaminated water overseas see health care provider returning travel discuss testing schistosomiasis travelers control countries schistosomiasis causes significant disease control efforts usually focus reducing number infections people andor eliminating snails required maintain life cycle species cause schistosomiasis improved sanitation could reduce eliminate transmission disease areas lower transmission levels elimination schistosomiasis considered winnable battle public health officials control measures include mass drug treatment entire communities targeted treatment schoolage children problems control schistosomiasis include chemicals used eliminate snails freshwater sources may harm species animals water treatment sustained snails may return sites afterwards certain species parasite japonicum animals cows water buffalo also infected runoff pastures cows infected contaminate freshwater sources
information,parasites lice head lice,head louse pediculus humanus capitis parasitic insect found head eyebrows eyelashes people head lice feed human blood several times day live close human scalp head lice known spread disease
susceptibility,risk parasites lice head lice,united states infestation head lice pediculus humanus capitis common among preschool elementary schoolage children household members caretakers head lice known transmit disease however secondary bacterial infection skin resulting scratching occur lice infestation getting head lice related cleanliness person environment head lice mainly spread direct contact hair infested person common way get head lice headtohead contact person already head lice contact common among children play school home elsewhere eg sports activities playgrounds camp slumber parties uncommonly transmission may occur wearing clothing hats scarves coats sports uniforms hair ribbons worn infested person using infested combs brushes towels lying bed couch pillow carpet stuffed animal recently contact infested person reliable data many people get head lice year united states available however estimated million million infestations occur year united states among children years age studies suggest girls get head lice often boys probably due frequent headtohead contact united states infestation head lice much less common among africanamericans among persons races head louse found frequently united states may claws better adapted grasping shape width types hair others
exams and tests,diagnose parasites lice head lice,misdiagnosis head lice infestation common diagnosis head lice infestation best made finding live nymph adult louse scalp hair person adult nymph lice small move quickly avoid light may difficult find use finetoothed louse comb may facilitate identification live lice crawling lice seen finding nits attached firmly within inch base hair shafts suggests confirm person infested nits frequently seen hair behind ears near back neck nits attached inch base hair shaft almost always nonviable hatched dead head lice nits visible naked eye although use magnifying lens may necessary find crawling lice identify developing nymph inside viable nit nits often confused particles found hair dandruff hair spray droplets dirt particles nymphs adults seen nits found inch scalp infestation probably old longer active need treated
